Ticker,Type,GapLow,GapHigh,Start,End,FID
AFRM,bullish,44.47999954223633,47.2400016784668,2025-04-22,2025-04-24,AFRM|bullish|2025-04-22|2025-04-24|44.480000|47.240002
AFRM,bullish,49.34000015258789,49.79999923706055,2025-05-22,2025-05-27,AFRM|bullish|2025-05-22|2025-05-27|49.340000|49.799999
AFRM,bullish,49.810001373291016,49.97999954223633,2025-05-23,2025-05-28,AFRM|bullish|2025-05-23|2025-05-28|49.810001|49.980000
AFRM,bullish,53.34999847412109,58.52999877929688,2025-05-26,2025-06-09,AFRM|bullish|2025-05-26|2025-06-09|53.349998|58.529999
AFRM,bullish,52.15499877929688,52.84999847412109,2025-05-30,2025-06-03,AFRM|bullish|2025-05-30|2025-06-03|52.154999|52.849998
AFRM,bullish,53.209999084472656,53.70000076293945,2025-06-02,2025-06-04,AFRM|bullish|2025-06-02|2025-06-04|53.209999|53.700001
AFRM,bullish,55.25,57.369998931884766,2025-06-04,2025-06-06,AFRM|bullish|2025-06-04|2025-06-06|55.250000|57.369999
AFRM,bullish,57.27999877929688,59.040000915527344,2025-06-05,2025-06-09,AFRM|bullish|2025-06-05|2025-06-09|57.279999|59.040001
AFRM,bullish,62.880001068115234,66.54000091552734,2025-06-16,2025-06-30,AFRM|bullish|2025-06-16|2025-06-30|62.880001|66.540001
AFRM,bullish,61.20000076293945,61.47999954223633,2025-06-17,2025-06-20,AFRM|bullish|2025-06-17|2025-06-20|61.200001|61.480000
AFRM,bullish,62.880001068115234,63.66999816894531,2025-06-20,2025-06-24,AFRM|bullish|2025-06-20|2025-06-24|62.880001|63.669998
AFRM,bullish,62.77999877929688,65.09200286865234,2025-06-23,2025-06-25,AFRM|bullish|2025-06-23|2025-06-25|62.779999|65.092003
AFRM,bullish,65.23699951171875,65.33000183105469,2025-07-14,2025-07-16,AFRM|bullish|2025-07-14|2025-07-16|65.237000|65.330002
AFRM,bullish,69.5999984741211,69.80000305175781,2025-07-28,2025-08-11,AFRM|bullish|2025-07-28|2025-08-11|69.599998|69.800003
AFRM,bullish,67.302001953125,71.36000061035156,2025-08-01,2025-08-05,AFRM|bullish|2025-08-01|2025-08-05|67.302002|71.360001
AFRM,bullish,80.41000366210938,81.5999984741211,2025-08-18,2025-09-01,AFRM|bullish|2025-08-18|2025-09-01|80.410004|81.599998
AFRM,bullish,74.95999908447266,76.33999633789062,2025-08-21,2025-08-25,AFRM|bullish|2025-08-21|2025-08-25|74.959999|76.339996
AFRM,bullish,78.94999694824219,86.76000213623047,2025-08-27,2025-08-29,AFRM|bullish|2025-08-27|2025-08-29|78.949997|86.760002
AFRM,bullish,81.05000305175781,81.5999984741211,2025-08-28,2025-09-02,AFRM|bullish|2025-08-28|2025-09-02|81.050003|81.599998
AFRM,bullish,85.47000122070312,86.44200134277344,2025-09-03,2025-09-05,AFRM|bullish|2025-09-03|2025-09-05|85.470001|86.442001
ALAB,bullish,43.540000915527344,49.5,2024-09-09,2024-09-23,ALAB|bullish|2024-09-09|2024-09-23|43.540001|49.500000
ALAB,bullish,38.72999954223633,40.77999877929688,2024-09-10,2024-09-12,ALAB|bullish|2024-09-10|2024-09-12|38.730000|40.779999
ALAB,bullish,42.29999923706055,42.79999923706055,2024-09-12,2024-09-16,ALAB|bullish|2024-09-12|2024-09-16|42.299999|42.799999
ALAB,bullish,43.540000915527344,44.400001525878906,2024-09-13,2024-09-17,ALAB|bullish|2024-09-13|2024-09-17|43.540001|44.400002
ALAB,bullish,44.32500076293945,46.060001373291016,2024-09-16,2024-09-18,ALAB|bullish|2024-09-16|2024-09-18|44.325001|46.060001
ALAB,bullish,46.790000915527344,46.79999923706055,2024-09-17,2024-09-19,ALAB|bullish|2024-09-17|2024-09-19|46.790001|46.799999
ALAB,bullish,48.41999816894531,49.5,2024-09-19,2024-09-23,ALAB|bullish|2024-09-19|2024-09-23|48.419998|49.500000
ALAB,bullish,50.77999877929688,51.13999938964844,2024-10-03,2024-10-07,ALAB|bullish|2024-10-03|2024-10-07|50.779999|51.139999
ALAB,bullish,57.68999862670898,59.31999969482422,2025-04-21,2025-04-23,ALAB|bullish|2025-04-21|2025-04-23|57.689999|59.320000
ALAB,bullish,56.93000030517578,61.18000030517578,2025-04-22,2025-04-24,ALAB|bullish|2025-04-22|2025-04-24|56.930000|61.180000
ALAB,bullish,62.97999954223633,63.20000076293945,2025-04-23,2025-04-25,ALAB|bullish|2025-04-23|2025-04-25|62.980000|63.200001
ALAB,bullish,73.05999755859375,76.52999877929688,2025-04-28,2025-05-12,ALAB|bullish|2025-04-28|2025-05-12|73.059998|76.529999
ALAB,bullish,66.5199966430664,68.24500274658203,2025-04-29,2025-05-01,ALAB|bullish|2025-04-29|2025-05-01|66.519997|68.245003
ALAB,bullish,65.36000061035156,70.92500305175781,2025-04-30,2025-05-02,ALAB|bullish|2025-04-30|2025-05-02|65.360001|70.925003
ALAB,bullish,70.5,70.6449966430664,2025-05-01,2025-05-05,ALAB|bullish|2025-05-01|2025-05-05|70.500000|70.644997
